dt|_ent|_snd|_os|_all
2019-01-23|2019-04-08 19:58:45|2019-04-08 20:08:31|2019-04-08 20:02:29|NULL
2019-01-24|2019-04-08 19:58:44|2019-04-08 20:08:29|2019-04-08 20:02:27|NULL
2019-01-25|2019-04-08 19:58:43|2019-04-08 20:08:28|2019-04-08 20:02:26|NULL
2019-01-26|2019-04-08 19:58:43|2019-04-08 20:08:26|2019-04-08 20:02:24|NULL
2019-01-27|2019-04-08 19:58:43|2019-04-08 20:08:26|2019-04-08 20:02:24|NULL
2019-01-28|2019-04-08 19:58:42|2019-04-08 20:08:26|2019-04-08 20:02:23|NULL
2019-01-29|2019-04-08 19:58:42|2019-04-08 20:08:24|2019-04-08 20:02:23|NULL
2019-01-30|2019-04-08 19:58:41|2019-04-08 20:08:23|2019-04-08 20:02:21|NULL
2019-01-31|2019-04-08 19:58:41|2019-04-08 20:08:22|2019-04-08 20:02:21|NULL
2019-02-01|2019-04-08 19:58:41|2019-04-08 20:08:22|2019-04-08 20:02:20|NULL
2019-02-02|2019-04-08 19:58:40|2019-04-08 20:08:21|2019-04-08 20:02:19|NULL
2019-02-03|2019-04-08 19:58:40|2019-04-08 20:08:21|2019-04-08 20:02:19|NULL
2019-02-04|2019-04-08 19:58:40|2019-04-08 20:08:21|2019-04-08 20:02:19|NULL
2019-02-05|2019-04-08 19:58:39|2019-04-08 20:08:20|2019-04-08 20:02:18|NULL
2019-02-06|2019-04-08 19:58:39|2019-04-08 20:08:18|2019-04-08 20:02:17|NULL
2019-02-07|2019-04-08 19:58:38|2019-04-08 20:08:17|2019-04-08 20:02:15|NULL
2019-02-08|2019-04-08 19:58:37|2019-04-08 20:08:16|2019-04-08 20:02:14|NULL
2019-02-09|2019-04-08 19:58:37|2019-04-08 20:08:14|2019-04-08 20:02:13|NULL
2019-02-10|2019-04-08 19:58:37|2019-04-08 20:08:14|2019-04-08 20:02:12|NULL
2019-02-11|2019-04-08 19:58:37|2019-04-08 20:08:14|2019-04-08 20:02:12|NULL
2019-02-12|2019-04-08 19:58:36|2019-04-08 20:08:13|2019-04-08 20:02:11|NULL
2019-02-13|2019-04-08 19:58:36|2019-04-08 20:08:12|2019-04-08 20:02:10|NULL
2019-02-14|2019-04-08 19:58:35|2019-04-08 20:08:10|2019-04-08 20:02:08|NULL
2019-02-15|2019-04-08 19:58:34|2019-04-08 20:08:09|2019-04-08 20:02:07|NULL
2019-02-16|2019-04-08 19:58:34|2019-04-08 20:08:08|2019-04-08 20:02:06|NULL
2019-02-17|2019-04-08 19:58:34|2019-04-08 20:08:08|2019-04-08 20:02:05|NULL
2019-02-18|2019-04-08 19:58:34|2019-04-08 20:08:08|2019-04-08 20:02:05|NULL
2019-02-19|2019-04-08 19:58:33|2019-04-08 20:08:07|2019-04-08 20:02:05|NULL
2019-02-20|2019-04-08 19:58:33|2019-04-08 20:08:06|2019-04-08 20:02:04|NULL
2019-02-21|2019-04-08 19:58:32|2019-04-08 20:08:04|2019-04-08 20:02:02|NULL
2019-02-22|2019-04-08 19:58:32|2019-04-08 20:08:03|2019-04-08 20:02:01|NULL
2019-02-23|2019-04-08 19:58:31|2019-04-08 20:08:02|2019-04-08 20:01:59|NULL
2019-02-24|2019-04-08 19:58:31|2019-04-08 20:08:02|2019-04-08 20:01:59|NULL
2019-02-25|2019-04-08 19:58:31|2019-04-08 20:08:01|2019-04-08 20:01:59|NULL
2019-02-26|2019-04-08 19:58:30|2019-04-08 20:08:00|2019-04-08 20:01:58|NULL
2019-02-27|2019-04-08 19:58:30|2019-04-08 20:07:58|2019-04-08 20:01:56|NULL
2019-02-28|2019-04-08 19:58:29|2019-04-08 20:07:57|2019-04-08 20:01:55|NULL
